Title,Link,Author,Level,Date,Duration,Average Rating,No of Users
Developing Spark Applications Using Scala & Cloudera,https://www.pluralsight.com/courses/spark-scala-cloudera,Xavier Morera,Beginner,May 2 2018,5h 42m,4.0/5.0,22
Developing Spark Applications with Python & Cloudera,https://www.pluralsight.com/courses/spark-python-cloudera,Xavier Morera,Beginner,Feb 26 2018,5h 42m,4.0/5.0,21
Developing on the Google Cloud Using Datalab and Cloud Source Repositories,https://www.pluralsight.com/courses/google-cloud-platform-datalab-source-repositories-developing,Vitthal Srinivasan,Beginner,Jan 8 2019,1h 48m,No Reviews Yet.,No Reviews Yet.
Django Fundamentals,https://www.pluralsight.com/courses/django-fundamentals-update,Reindert-Jan Ekker,Intermediate,Dec 4 2017,3h 43m,4.0/5.0,68
Doing Data Science with Python,https://www.pluralsight.com/courses/python-data-science,Abhishek Kumar,Beginner,Dec 27 2017,6h 25m,4.5/5.0,147
Dynamic C# Fundamentals,https://www.pluralsight.com/courses/c-sharp-dynamic-fundamentals,Jason Roberts,Intermediate,Jun 6 2016,2h 50m,4.5/5.0,103
Enhancing Maya Toolsets with Python,https://www.pluralsight.com/courses/enhancing-maya-toolsets-python-1410,Delano Athias,Intermediate,Dec 8 2013,2h 5m,No Reviews Yet.,No Reviews Yet.
Exploring Human Muscles Setup in Maya,https://www.pluralsight.com/courses/exploring-human-muscles-setup-maya-2395,Jakub Krompolc,Advanced,Feb 10 2016,6h 48m,4.0/5.0,16
Extracting Structured Data from the Web Using Scrapy,https://www.pluralsight.com/courses/scrapy-extracting-structured-data,Janani Ravi,Beginner,Jul 5 2018,1h 52m,4.5/5.0,24
Foundations of PyTorch,https://www.pluralsight.com/courses/foundations-pytorch,Janani Ravi,Beginner,Mar 31 2019,2h 51m,No Reviews Yet.,No Reviews Yet.
Full Stack Web Development with Python (WEB2PY),https://www.pluralsight.com/courses/full-stack-web-development-python-web2py,Terry Toy,Beginner,Aug 20 2015,3h 2m,4.5/5.0,131
Functional Programming with Python,https://www.pluralsight.com/courses/python-functional-programming,Gerald Britton,Advanced,Aug 1 2017,1h 49m,4.0/5.0,23
Game Programming with Python and PyGame,https://www.pluralsight.com/courses/game-programming-python-pygame,Filip Ekberg,Intermediate,Dec 17 2013,4h 18m,4.5/5.0,88
Getting Started with Azure Machine Learning,https://www.pluralsight.com/courses/azure-machine-learning-getting-started,Jerry Kurata,Beginner,Nov 1 2016,2h 14m,5.0/5.0,149
Getting Started with Data Analysis Using Python,https://www.pluralsight.com/courses/python-data-analysis-getting-started,Terry Toy,Beginner,Sep 12 2017,2h 23m,3.5/5.0,46
Getting Started with Django CMS,https://www.pluralsight.com/courses/django-cms-getting-started,Brennan Davis,Intermediate,Jun 14 2017,1h 2m,4.0/5.0,20
Getting Started with Jupyter Notebook and Python,https://www.pluralsight.com/courses/jupyter-notebook-python,Douglas Starnes,Beginner,Mar 14 2018,2h 14m,4.5/5.0,25
Getting Started with Natural Language Processing with Python,https://www.pluralsight.com/courses/python-natural-language-processing,Swetha Kolalapudi,Beginner,Nov 13 2016,1h 43m,4.5/5.0,188
Getting Started with Python Concurrency,https://www.pluralsight.com/courses/python-concurrency-getting-started,Tim Ojo,Beginner,Oct 17 2017,2h 39m,4.5/5.0,42
Getting Started with Python Scripting in Maya,https://www.pluralsight.com/courses/getting-started-python-scripting-maya-1283,Delano Athias,Beginner,Sep 8 2013,1h 42m,4.0/5.0,30
Getting Started with Python on SQL Server,https://www.pluralsight.com/courses/python-sql-server-getting-started,Gerald Britton,Intermediate,Apr 17 2018,1h 25m,4.5/5.0,11
Getting Started with Spark 2,https://www.pluralsight.com/courses/spark-2-getting-started,Janani Ravi,Beginner,May 15 2018,2h 16m,5.0/5.0,41
